call_id,customer_id,agent_id,call_date_time,call_duration_sec,issue_category,call_status,resolution_status,first_call_resolution
109,4709,25,2025-04-29 03:49:00,1137,Billing,Escalated,Resolved,1
110,2141,31,2025-06-17 14:23:00,56,Complaint,Escalated,Escalated,1
111,1559,48,2025-04-29 15:40:00,1088,Product Inquiry,Escalated,Resolved,1
112,4672,33,2025-03-21 23:36:00,844,Billing,Dropped,Pending,1
113,1487,24,2025-06-01 10:59:00,849,Technical,Completed,Resolved,0
114,4308,3,2025-01-29 18:53:00,98,Technical,Completed,Pending,1
115,4956,7,2025-06-04 05:48:00,223,Technical,Dropped,Resolved,1
116,1896,19,2025-06-19 20:09:00,326,Loan Status,Dropped,Pending,1
117,4343,32,2025-03-11 16:09:00,586,Complaint,Completed,Pending,1
118,2212,71,2025-01-05 08:02:00,996,Technical,Escalated,Escalated,0
119,1703,49,2025-01-28 11:32:00,321,Complaint,Escalated,Escalated,1
120,2470,10,2025-05-23 02:29:00,632,Technical,Dropped,Pending,0
121,1580,22,2025-01-28 03:52:00,355,Product Inquiry,Escalated,Pending,1
122,3837,29,2025-03-30 19:43:00,705,Complaint,Dropped,Resolved,0
123,3908,83,2025-01-11 08:17:00,1186,Technical,Completed,Pending,0
124,3294,80,2024-12-28 10:47:00,1044,Billing,Dropped,Resolved,1
125,4147,63,2025-03-30 05:18:00,210,Complaint,Escalated,Resolved,0
126,1153,88,2025-05-02 13:21:00,797,Loan Status,Completed,Pending,0
127,2679,90,2025-01-19 11:56:00,390,Billing,Completed,Escalated,1
128,4506,43,2025-01-09 01:29:00,453,Billing,Dropped,Pending,1
129,1996,46,2025-01-22 20:34:00,639,Loan Status,Escalated,Resolved,1
130,4157,24,2025-03-11 16:37:00,153,Billing,Dropped,Escalated,0
131,3744,9,2025-03-18 01:36:00,207,Billing,Dropped,Escalated,1
132,4356,24,2025-03-22 21:21:00,359,Technical,Dropped,Escalated,0
133,2243,45,2025-01-16 00:27:00,992,Technical,Escalated,Resolved,1
134,2092,97,2025-06-01 01:31:00,192,Complaint,Completed,Escalated,0
135,4118,33,2025-04-13 23:20:00,842,Complaint,Completed,Resolved,1
136,2008,2,2025-04-07 09:50:00,522,Complaint,Dropped,Escalated,1
137,3141,9,2025-03-12 20:01:00,907,Technical,Escalated,Pending,0
138,2773,5,2025-06-02 12:02:00,500,Complaint,Escalated,Escalated,0
139,1957,68,2025-06-04 02:27:00,370,Billing,Dropped,Resolved,1
140,4059,58,2025-02-14 18:12:00,184,Technical,Escalated,Resolved,1
141,1452,65,2025-04-15 21:30:00,789,Complaint,Completed,Escalated,1
142,2227,81,2025-04-14 21:36:00,614,Billing,Escalated,Resolved,1
143,3959,71,2025-05-20 13:37:00,129,Complaint,Completed,Escalated,1
144,3265,46,2025-01-29 06:32:00,255,Product Inquiry,Escalated,Pending,0
145,3521,91,2025-02-19 00:36:00,1083,Complaint,Dropped,Escalated,0
146,3479,75,2025-01-12 09:27:00,764,Product Inquiry,Dropped,Pending,1
147,3388,76,2025-02-01 02:12:00,1069,Complaint,Dropped,Escalated,0
148,1550,23,2025-03-21 21:27:00,747,Loan Status,Completed,Resolved,0
149,2635,71,2025-05-04 20:25:00,487,Complaint,Completed,Pending,1
150,2312,19,2025-06-08 10:52:00,245,Technical,Completed,Pending,0
151,4325,51,2025-06-21 18:04:00,641,Technical,Completed,Resolved,0
152,2757,94,2025-02-20 22:16:00,565,Product Inquiry,Dropped,Resolved,1
153,1356,26,2024-12-30 03:46:00,462,Technical,Dropped,Pending,1
154,3070,53,2025-06-10 13:00:00,988,Billing,Escalated,Escalated,1
155,2785,64,2025-05-20 16:30:00,587,Loan Status,Completed,Pending,1
156,3569,36,2025-01-10 14:51:00,269,Loan Status,Completed,Pending,1
157,2781,34,2025-01-18 08:10:00,845,Billing,Escalated,Escalated,1
158,4908,7,2025-04-24 19:20:00,131,Product Inquiry,Escalated,Escalated,1
159,4171,46,2024-12-27 18:06:00,694,Billing,Dropped,Pending,1
160,3849,55,2025-04-26 14:03:00,1096,Billing,Completed,Escalated,1
161,4251,81,2025-02-15 03:33:00,350,Loan Status,Dropped,Pending,0
162,4294,56,2025-04-21 17:44:00,838,Complaint,Dropped,Resolved,1
163,4977,38,2025-03-24 17:13:00,442,Loan Status,Dropped,Resolved,1
164,3809,70,2025-02-11 02:02:00,957,Loan Status,Completed,Resolved,0
165,4730,68,2025-04-21 03:57:00,63,Technical,Completed,Pending,0
166,3489,70,2025-06-06 21:45:00,779,Billing,Completed,Escalated,1
167,2631,37,2025-04-10 15:17:00,474,Loan Status,Dropped,Escalated,1
168,3816,93,2025-03-23 23:34:00,209,Billing,Dropped,Escalated,0
169,2015,47,2025-05-25 12:48:00,746,Technical,Dropped,Pending,1
170,2348,62,2025-02-27 16:17:00,998,Billing,Completed,Pending,0
171,1515,86,2025-04-26 11:24:00,341,Loan Status,Escalated,Resolved,1
172,4087,79,2024-12-26 03:31:00,35,Billing,Escalated,Resolved,1
173,3839,7,2025-02-18 06:35:00,577,Technical,Dropped,Escalated,1
174,1335,85,2025-06-16 18:29:00,667,Complaint,Dropped,Escalated,0
175,2782,9,2024-12-31 23:12:00,487,Billing,Dropped,Resolved,1
176,3305,38,2025-02-21 07:16:00,600,Loan Status,Dropped,Escalated,0
177,1496,93,2025-04-20 18:18:00,97,Technical,Escalated,Resolved,1
178,1895,34,2025-04-24 16:09:00,149,Loan Status,Dropped,Pending,0
179,3207,92,2025-04-01 10:14:00,993,Loan Status,Dropped,Escalated,0
180,4546,75,2025-05-28 23:18:00,877,Billing,Dropped,Pending,1
181,1851,64,2025-06-14 06:50:00,904,Loan Status,Escalated,Escalated,1
182,2687,11,2025-06-04 04:24:00,976,Billing,Escalated,Escalated,0
183,2931,39,2025-06-10 12:48:00,1039,Complaint,Completed,Resolved,1
184,3737,55,2025-02-03 13:15:00,375,Loan Status,Dropped,Pending,1
185,4746,69,2025-02-02 16:12:00,963,Loan Status,Dropped,Escalated,0
186,3427,24,2025-05-01 18:39:00,657,Loan Status,Completed,Escalated,1
187,2568,40,2025-05-12 08:42:00,643,Product Inquiry,Dropped,Resolved,1
188,1956,29,2025-04-12 10:49:00,304,Product Inquiry,Escalated,Resolved,0
189,3738,48,2025-03-08 03:03:00,659,Technical,Dropped,Resolved,1
190,4498,91,2025-03-02 18:48:00,1118,Product Inquiry,Completed,Escalated,1
191,2636,47,2025-06-12 01:14:00,98,Technical,Escalated,Resolved,0
192,2291,27,2025-04-30 17:15:00,756,Product Inquiry,Dropped,Resolved,1
193,4906,57,2025-01-30 09:53:00,338,Complaint,Escalated,Escalated,1
194,4648,49,2025-03-10 15:46:00,176,Technical,Dropped,Resolved,1
195,2440,56,2025-05-15 04:47:00,607,Product Inquiry,Completed,Resolved,0
196,2191,6,2025-05-26 19:18:00,537,Complaint,Dropped,Resolved,1
197,4913,13,2025-04-02 04:05:00,205,Product Inquiry,Escalated,Escalated,0
198,2066,49,2025-01-28 08:22:00,607,Billing,Escalated,Resolved,1
199,4627,35,2025-05-17 12:55:00,230,Billing,Dropped,Resolved,0
200,1284,76,2025-02-19 06:10:00,1071,Complaint,Dropped,Escalated,1
201,3444,37,2025-06-19 00:02:00,1180,Loan Status,Completed,Pending,1
202,1011,38,2025-06-04 14:07:00,742,Loan Status,Completed,Pending,0
203,2630,37,2025-05-13 19:37:00,1104,Billing,Completed,Escalated,1
204,4373,41,2025-03-27 23:57:00,217,Billing,Escalated,Escalated,0
205,4969,27,2025-05-12 19:47:00,259,Loan Status,Dropped,Pending,0
206,4324,43,2025-05-22 23:09:00,984,Technical,Escalated,Resolved,0
207,3546,22,2025-05-07 15:42:00,875,Loan Status,Dropped,Pending,1
208,1753,91,2025-04-16 19:22:00,456,Product Inquiry,Dropped,Escalated,0
209,3082,85,2025-01-08 14:13:00,1135,Technical,Dropped,Escalated,1
210,3774,14,2025-01-20 00:04:00,507,Product Inquiry,Dropped,Resolved,1
211,3896,52,2025-05-14 07:54:00,1086,Billing,Escalated,Pending,1
212,1089,27,2025-02-10 08:22:00,779,Technical,Escalated,Resolved,1
213,1775,57,2025-05-07 13:25:00,622,Product Inquiry,Escalated,Pending,1
214,3652,87,2025-02-25 07:38:00,896,Product Inquiry,Completed,Escalated,1
215,4993,56,2025-04-04 22:56:00,543,Technical,Completed,Resolved,0
216,4017,75,2025-01-25 19:15:00,361,Complaint,Dropped,Escalated,0
217,2625,40,2025-03-02 01:33:00,562,Loan Status,Dropped,Resolved,0
218,4069,30,2025-06-10 22:29:00,34,Product Inquiry,Dropped,Escalated,0
219,1417,29,2025-06-09 17:51:00,313,Loan Status,Escalated,Pending,0
220,1114,17,2025-02-17 15:24:00,333,Loan Status,Dropped,Escalated,1
221,1616,9,2025-04-02 01:17:00,893,Billing,Completed,Pending,0
222,4974,40,2025-04-29 15:00:00,896,Loan Status,Completed,Resolved,1
223,4267,88,2025-01-05 21:07:00,867,Product Inquiry,Dropped,Escalated,0
224,1825,91,2025-04-29 13:57:00,197,Billing,Dropped,Escalated,0
225,4572,40,2025-03-06 05:02:00,35,Technical,Dropped,Resolved,1
226,2649,6,2025-06-12 03:38:00,171,Product Inquiry,Completed,Escalated,1
227,2516,73,2025-05-29 19:21:00,404,Billing,Dropped,Escalated,0
228,4146,21,2025-05-03 04:21:00,1178,Billing,Escalated,Pending,0
229,1412,50,2025-06-01 07:02:00,424,Loan Status,Dropped,Escalated,1
230,4447,83,2025-01-04 10:38:00,1077,Technical,Completed,Resolved,0
231,4491,5,2025-06-13 08:27:00,138,Product Inquiry,Dropped,Resolved,0
232,1728,41,2025-06-05 03:34:00,239,Product Inquiry,Completed,Resolved,0
233,4348,91,2025-03-19 18:39:00,636,Loan Status,Completed,Resolved,0
234,4068,34,2025-04-15 00:12:00,826,Technical,Escalated,Pending,0
235,3808,79,2025-03-20 06:42:00,31,Product Inquiry,Completed,Escalated,1
236,1675,65,2025-06-17 15:41:00,772,Technical,Dropped,Escalated,1
237,4465,7,2025-06-07 14:55:00,795,Product Inquiry,Completed,Escalated,1
238,2892,41,2025-04-13 09:36:00,1164,Loan Status,Escalated,Resolved,0
239,3504,82,2025-01-12 09:07:00,105,Complaint,Dropped,Pending,1
240,3967,55,2025-05-03 19:30:00,241,Product Inquiry,Completed,Escalated,1
241,3239,27,2025-03-21 16:53:00,216,Billing,Escalated,Escalated,1
242,3786,88,2025-04-11 10:53:00,339,Billing,Escalated,Escalated,1
243,4760,60,2025-05-24 19:49:00,995,Complaint,Completed,Escalated,1
244,2122,23,2025-04-13 14:46:00,917,Product Inquiry,Dropped,Resolved,0
245,2571,32,2025-05-27 08:13:00,240,Billing,Completed,Pending,1
246,1977,45,2025-06-10 02:56:00,380,Billing,Completed,Resolved,0
247,2008,31,2025-05-26 04:26:00,351,Product Inquiry,Dropped,Escalated,1
248,3143,57,2025-04-24 17:30:00,236,Technical,Completed,Pending,0
249,2687,50,2025-04-18 14:55:00,1143,Product Inquiry,Completed,Resolved,0
250,3710,5,2024-12-25 17:19:00,687,Technical,Escalated,Pending,0
251,4261,46,2025-05-30 11:18:00,94,Complaint,Completed,Resolved,1
252,4807,14,2025-05-24 12:24:00,445,Loan Status,Escalated,Resolved,1
253,1036,18,2025-05-02 15:19:00,1052,Complaint,Completed,Resolved,0
254,4851,41,2025-04-04 05:34:00,506,Loan Status,Completed,Resolved,1
255,4440,54,2024-12-30 01:26:00,399,Billing,Dropped,Pending,1
256,4766,81,2025-06-13 09:42:00,702,Billing,Escalated,Pending,0
257,2548,76,2025-03-15 15:11:00,772,Billing,Completed,Pending,0
258,3326,6,2025-01-11 07:12:00,683,Technical,Escalated,Pending,1
259,3264,30,2025-05-10 21:21:00,461,Loan Status,Completed,Escalated,0
260,3914,60,2025-01-06 04:42:00,268,Billing,Dropped,Resolved,0
261,1872,55,2025-01-10 00:25:00,322,Product Inquiry,Escalated,Resolved,1
262,2821,35,2025-01-28 18:59:00,266,Loan Status,Completed,Pending,1
263,2296,94,2025-04-15 06:25:00,674,Loan Status,Completed,Escalated,0
264,4952,17,2025-03-04 04:57:00,730,Technical,Dropped,Resolved,0
265,3109,45,2025-04-08 19:27:00,354,Complaint,Escalated,Escalated,1
266,1595,91,2025-05-08 01:02:00,451,Technical,Escalated,Escalated,0
267,2903,19,2025-06-14 18:25:00,459,Billing,Escalated,Pending,0
268,1728,12,2025-06-15 22:42:00,383,Product Inquiry,Dropped,Resolved,0
269,2365,85,2025-02-01 06:23:00,322,Product Inquiry,Completed,Pending,1
270,1396,21,2025-01-05 20:58:00,824,Billing,Escalated,Resolved,1
271,1698,7,2025-06-01 14:01:00,653,Product Inquiry,Completed,Resolved,0
272,4090,94,2025-06-02 04:15:00,410,Technical,Dropped,Resolved,0
273,3224,54,2025-05-10 01:05:00,254,Technical,Completed,Resolved,1
274,2635,95,2025-01-11 17:51:00,932,Billing,Escalated,Escalated,1
275,1395,62,2025-03-03 00:35:00,700,Product Inquiry,Escalated,Resolved,0
276,3492,48,2025-02-27 08:37:00,549,Loan Status,Escalated,Pending,1
277,4304,50,2025-03-09 04:34:00,636,Complaint,Dropped,Escalated,1
278,4986,28,2025-03-16 09:52:00,706,Loan Status,Escalated,Escalated,0
279,1075,41,2025-02-20 00:28:00,472,Technical,Completed,Escalated,1
280,1264,3,2025-04-23 05:41:00,748,Technical,Dropped,Pending,1
281,3502,8,2025-04-22 17:54:00,211,Technical,Escalated,Pending,0
282,2819,16,2025-03-21 22:42:00,471,Technical,Completed,Resolved,0
283,1717,87,2024-12-30 04:13:00,637,Complaint,Escalated,Resolved,1
284,3782,17,2025-01-09 18:40:00,973,Billing,Completed,Escalated,0
285,4455,29,2025-02-15 13:34:00,1166,Technical,Completed,Escalated,1
286,4635,92,2025-03-17 15:35:00,296,Product Inquiry,Dropped,Pending,1
287,1850,74,2025-02-25 13:56:00,959,Complaint,Completed,Escalated,1
288,4577,5,2025-03-08 00:09:00,830,Technical,Completed,Pending,0
289,2390,55,2025-02-02 10:06:00,494,Product Inquiry,Dropped,Pending,1
290,1143,30,2025-06-13 02:22:00,1022,Technical,Completed,Pending,1
291,1884,51,2025-02-17 08:19:00,537,Billing,Dropped,Resolved,1
292,4140,37,2025-05-20 08:46:00,142,Complaint,Completed,Resolved,1
293,4170,11,2025-01-20 11:34:00,161,Billing,Escalated,Escalated,0
294,1395,38,2025-02-09 04:01:00,954,Complaint,Dropped,Escalated,0
295,4096,39,2025-03-16 06:05:00,904,Technical,Escalated,Pending,1
296,3995,26,2025-04-02 22:48:00,132,Technical,Completed,Resolved,0
297,3938,97,2025-06-08 15:06:00,711,Complaint,Completed,Escalated,0
298,2492,60,2025-05-16 07:39:00,1008,Product Inquiry,Completed,Pending,0
299,4555,96,2024-12-30 13:05:00,95,Product Inquiry,Escalated,Pending,0
300,4636,83,2025-06-05 11:24:00,164,Technical,Completed,Escalated,0
301,4222,37,2025-02-14 03:09:00,1178,Technical,Escalated,Resolved,0
302,2167,74,2025-01-23 20:09:00,86,Billing,Escalated,Escalated,1
303,3616,15,2025-05-27 14:07:00,819,Technical,Completed,Resolved,1
304,2062,42,2025-03-14 20:07:00,936,Complaint,Escalated,Pending,1
305,3156,19,2025-03-02 16:30:00,723,Product Inquiry,Escalated,Escalated,0
306,4764,82,2025-02-09 09:29:00,1067,Product Inquiry,Completed,Resolved,1
307,2065,75,2025-06-08 17:03:00,928,Billing,Completed,Pending,0
308,2209,64,2025-03-19 19:24:00,655,Product Inquiry,Dropped,Pending,0
309,3982,99,2024-12-28 05:33:00,495,Product Inquiry,Escalated,Resolved,0
310,3445,6,2025-04-16 01:41:00,1053,Loan Status,Dropped,Pending,1
311,4294,91,2025-01-14 15:01:00,56,Complaint,Escalated,Escalated,0
312,1633,83,2024-12-24 19:32:00,801,Loan Status,Escalated,Resolved,1
313,2156,64,2025-04-09 11:11:00,349,Product Inquiry,Completed,Escalated,0
314,4234,16,2025-03-31 21:25:00,248,Billing,Dropped,Pending,0
315,2238,40,2025-05-27 08:57:00,448,Billing,Escalated,Pending,1
316,1732,99,2025-06-08 22:39:00,1169,Product Inquiry,Completed,Resolved,1
317,1234,90,2024-12-25 18:41:00,635,Technical,Dropped,Escalated,1
318,4914,28,2025-06-15 08:45:00,98,Loan Status,Dropped,Escalated,1
319,3705,35,2025-05-30 01:49:00,712,Product Inquiry,Completed,Pending,1
320,1750,32,2025-04-07 11:55:00,998,Billing,Completed,Pending,1
321,3635,74,2025-05-06 05:52:00,490,Billing,Escalated,Resolved,1
322,4080,58,2025-01-07 01:24:00,1032,Loan Status,Dropped,Resolved,1
323,4145,23,2025-01-06 22:08:00,178,Complaint,Dropped,Resolved,1
324,1953,24,2025-03-21 15:51:00,222,Product Inquiry,Dropped,Resolved,0
325,3539,54,2025-01-01 09:47:00,191,Product Inquiry,Escalated,Escalated,1
326,3960,60,2025-05-01 07:21:00,1005,Complaint,Escalated,Escalated,1
327,4324,28,2025-04-22 16:02:00,771,Loan Status,Dropped,Resolved,1
328,4301,24,2025-03-22 19:53:00,582,Loan Status,Completed,Escalated,0
329,2542,81,2025-05-02 17:07:00,191,Billing,Completed,Pending,0
330,2197,100,2025-05-14 13:14:00,182,Complaint,Completed,Resolved,1
331,2676,72,2025-02-12 16:53:00,350,Loan Status,Completed,Escalated,1
332,2191,99,2025-01-13 00:38:00,1129,Technical,Completed,Resolved,1
333,3217,74,2025-04-24 05:21:00,409,Product Inquiry,Completed,Pending,1
334,2416,14,2025-05-11 20:27:00,792,Billing,Escalated,Resolved,0
335,3993,33,2025-05-10 06:55:00,819,Complaint,Completed,Pending,0
336,3842,49,2025-06-21 22:46:00,730,Billing,Completed,Resolved,0
337,3681,57,2025-03-17 16:07:00,1179,Loan Status,Escalated,Escalated,1
338,2217,10,2025-06-13 12:40:00,781,Loan Status,Completed,Escalated,1
339,2540,29,2025-06-21 20:19:00,970,Technical,Dropped,Escalated,1
340,3076,21,2025-04-05 03:39:00,610,Product Inquiry,Completed,Escalated,0
341,4236,59,2025-03-24 14:17:00,441,Complaint,Dropped,Resolved,0
342,2445,29,2025-01-12 20:28:00,585,Billing,Escalated,Resolved,1
343,3386,32,2025-04-28 00:55:00,650,Product Inquiry,Completed,Escalated,0
344,4719,38,2025-04-07 14:36:00,378,Loan Status,Dropped,Pending,0
345,2519,100,2025-03-01 01:50:00,1143,Product Inquiry,Completed,Pending,1
346,2388,9,2025-06-17 07:03:00,1018,Billing,Dropped,Resolved,1
347,2856,34,2025-04-04 05:50:00,398,Product Inquiry,Escalated,Escalated,1
348,2365,46,2025-01-30 14:55:00,98,Loan Status,Dropped,Escalated,0
349,1499,93,2025-04-26 19:08:00,173,Product Inquiry,Completed,Resolved,1
350,2680,39,2025-02-16 18:53:00,85,Complaint,Completed,Escalated,0
351,1510,79,2025-01-26 05:05:00,1130,Product Inquiry,Dropped,Pending,1
352,4398,87,2025-04-17 00:05:00,549,Complaint,Dropped,Pending,0
353,1216,84,2025-06-06 20:07:00,119,Product Inquiry,Escalated,Pending,0
354,2324,34,2025-02-24 02:10:00,405,Loan Status,Completed,Resolved,0
355,2155,13,2025-01-13 05:59:00,806,Technical,Dropped,Escalated,0
356,2827,7,2025-02-08 15:38:00,1027,Technical,Escalated,Resolved,0
357,4141,67,2025-02-09 18:54:00,366,Complaint,Dropped,Resolved,1
