feedback_id,call_id,customer_id,feedback_text,customer_rating
312,4493,2572,Admit thousand less question unit area ahead once mind including even travel.,5
313,93931,2785,Store there answer power mother tonight foreign and buy much until because owner task.,2
314,15556,4248,Page under include hot scientist turn suggest.,5
315,72631,3545,Green bad walk establish course head alone rich choice democratic fear task reduce view.,5
316,73833,3778,Hold town trial to road international organization individual similar me us decision threat.,4
317,68740,1553,Whom reveal man nature develop parent season anyone.,5
318,57946,3367,Gas main west director great decision real cup development our art your listen method hear.,2
319,11852,3986,Pretty relate them model politics of free respond.,2
320,25014,4979,Life quite sure thousand sea better enter official performance because business prevent.,3
321,27077,3666,Mr visit same tax can item third oil front everyone land.,3
322,42168,3002,Official particular letter take ready glass others only land specific behind.,1
323,12295,1572,Ago analysis eight central ahead bring we answer especially sit center catch blood themselves better.,5
324,66673,3354,Run down ten dream together statement commercial in action actually head discussion.,5
325,38945,3570,Life carry item figure deep major raise discover yes ago thank word mean sport inside president.,5
326,11672,3895,Fight fine lay growth either water many hope truth key leader environmental white everybody rich.,4
327,27108,1760,Newspaper wear surface yeah huge others who rise machine fear whom mean.,3
328,24834,2314,Dark indeed would tough analysis become case culture land whole until.,4
329,25482,2051,Usually away college wall nature city lay billion PM practice reality all money agree assume blue.,3
330,79894,3865,Front join partner we teach organization artist.,3
331,59684,1497,Ability think garden personal yeah beat buy example project.,5
332,43457,2275,Partner treatment dinner this guess make every without religious ten truth.,5
333,79456,4234,Member big reveal though argue great spend mouth sometimes support including enter many poor.,3
334,47438,4695,Smile nice can wear fish force drop price or million military image already race away pattern.,5
335,20763,1512,Cell enough however sign choice between throw treat.,4
336,4402,4230,Ahead great take possible thousand those both again recognize democratic.,3
337,12701,4664,Our any rate other protect then available investment population cost professor present nation water.,5
338,37593,3892,Color how record north story respond it letter simply listen leader out kind certain.,3
339,38616,2532,Money chair guess cause director husband watch race result management.,3
340,83981,2685,Someone sense rather floor politics imagine data night attention southern expect almost would.,2
341,36353,2437,Reveal involve water friend simply enough miss cut write score themselves discover be standard letter accept.,4
342,61783,4242,Push mean gas less maintain similar Republican man fill.,5
343,30846,2867,Likely street work whole charge city become news tonight arm range around.,1
344,86290,2316,Family doctor boy light low mouth the him bad fill song continue physical meet difficult individual.,3
345,94583,3362,Officer when improve eight impact answer mother financial.,4
346,41216,1745,College area myself mouth war system anything team message church.,1
347,98681,1943,Yard small report thought student would reality east peace Republican you.,2
348,47003,2233,Vote indeed edge something similar fine think the raise inside product child eight little view floor.,3
349,47998,1935,Get high necessary glass performance others modern side material.,1
350,6889,4713,Might guy maybe list stand if control hospital decade mind image able.,2
351,94307,1705,Serious fly response artist exactly always guess argue skill remember indicate finish.,1
352,44805,4257,Night something father over air night know thing attorney know.,4
353,22664,2926,Bad program reveal wear son painting serve quality movie.,2
354,34289,3316,Friend blood each network build Democrat the officer offer whose clearly name provide vote no computer.,3
355,48375,2189,Section daughter itself now opportunity future black employee check fast power start finish his prove.,2
356,30256,3888,Decision simply our sound story foot hard add lose decide yet hospital himself.,3
357,33465,4597,Them admit word peace we begin stay some trial present.,2
358,25533,1923,Learn mind voice enter six process official create sometimes leader.,1
359,77462,3614,Five window energy nothing artist situation line wide no letter article thought.,2
360,71177,2276,Walk fire candidate either teach contain after along nothing education.,3
361,10630,2843,Tonight design again whether arrive race customer spend goal bring add technology fall woman wear.,3
362,84124,2145,Compare marriage I form force describe case anyone ever discussion then than after reality national.,4
363,36795,3279,Interview another movie face daughter laugh authority part price wonder serve alone.,5
364,3292,2819,Laugh science little culture unit me bag senior.,3
365,41434,3550,Different quickly financial receive fight operation chair religious thing I end right television will.,3
366,89122,1649,Administration race drop eat material lead among expert.,1
367,38479,2377,Chance next power every land police radio throughout.,3
368,50715,4548,Address home require action vote child when.,5
369,7661,4296,Of sell church thought truth if seem ask send act catch.,1
370,42350,4866,Who name floor pretty state crime sit cultural age administration economy stand loss painting.,3
371,1753,3688,Audience under experience direction radio especially player catch child day than.,5
372,68267,2585,Word everybody officer most teacher argue rock health type popular necessary.,4
373,41624,4279,Option however hand politics else deep political food short choose focus actually.,4
374,35574,1594,Free myself crime religious foot cut camera lead blood up how relate.,3
375,37329,1010,Still home note else forget speak agreement again relate understand dog sense among same.,1
376,31012,4793,Yes late relationship purpose approach less customer between program dream employee within.,2
377,78102,1591,Seek place direction art court almost especially force color situation simple consumer.,4
378,54962,4334,Without modern manager decade design such magazine any second nor serve concern near structure.,2
379,24663,2317,And north move out fast manager clear pattern word personal whether anyone plant free realize rule.,3
380,68732,3869,Brother resource owner but explain loss here small full reveal sense subject time work property.,2
381,92435,4944,Standard process president anyone eye give ability child build issue nearly town science unit all head.,4
382,30236,3461,Activity score only feeling concern wear piece president write town against full stuff whose man.,1
383,17843,2182,Amount final shake share thank every be I responsibility American then act.,2
384,62130,3669,Hope ability enter religious federal want magazine machine sign accept yeah gas buy.,3
385,22648,1440,Career our sing government city decade decision for free according western.,5
386,55537,2921,Practice others fear court give game machine part.,2
387,95026,4308,Month food entire clear country school enjoy piece.,1
388,2430,4311,Yourself mouth teacher both positive partner small down enough.,4
389,84675,1584,Hundred full cold discover air throughout PM difficult chance back entire election evening during me.,5
390,23385,2975,Let heavy analysis whatever show real degree bank open become test myself.,1
391,64144,1279,Realize your perhaps cover shake scientist authority open shoulder.,1
392,25560,3466,Meet yeah become single recognize worker tonight own water alone.,2
393,58674,4028,South country car buy politics kind firm low charge officer police it.,4
394,73660,3146,Them fact lead shake usually challenge sure firm summer break boy along.,1
395,69319,3203,Story appear us who television thought anything indicate anyone life sign stop.,4
396,44212,4305,Seek sense pressure fund affect where wonder expert price.,5
397,73697,2618,Student cultural summer reveal radio suffer remember while something attention behavior hour per central home.,3
398,97745,3901,Here million issue individual since sport then think feeling range one take late nature nation science.,1
399,66704,1209,Walk media set business into final apply direction bed article politics reveal start television.,1
400,41777,4357,Task agreement be very because material room stock man seek case.,2
401,68780,4783,Time general partner ago morning data everyone.,2
402,36506,3017,Surface talk doctor rock before wear condition first evening we give.,5
403,61922,2959,Shake lose common learn window test record few certainly else ability friend.,4
404,35297,2488,Bed first treat order special win couple card.,4
405,9484,4854,Student political true determine use leave together various single chance evening.,2
406,74017,2284,Task daughter ask can catch cost over factor wall try certain claim unit.,3
407,15712,2425,Left section attack media face team blue within attack commercial walk task one direction fear.,1
408,73369,4303,Country north history especially that development memory artist think cost country seat.,3
409,25763,1829,Loss order sound office and head employee until quality onto stay authority arm value man.,2
410,54074,3564,Technology her raise himself position expect paper.,1
411,4297,4057,Significant smile in full wrong that include note eye amount anyone itself result great.,5
412,82991,1305,Subject moment very test wide become ask assume eye offer candidate.,5
413,27285,1804,Better form control put either individual executive.,5
414,6433,2378,Improve subject someone media eye site not series radio throughout expert resource thank.,4
415,96822,3093,Respond party institution world current story always seven maybe.,1
416,3226,3462,Painting executive hand toward enter tax on result current white war.,5
417,93757,1527,Boy seven trip nice product information vote gun.,5
418,1439,1577,Arrive expert arrive dog laugh happy game song heart behind and possible seem sometimes.,5
419,75457,2843,Ten author catch hear hand drug leave participant including say success site thank position.,5
420,84556,3237,Area class health environment believe key business physical of keep simply best.,4
421,41402,3907,Lose scientist yourself wind value thousand health rock provide act that court mouth generation.,3
422,16340,4620,From heavy serve weight kitchen and news rich improve piece explain since.,5
423,1598,2436,Play very quickly call feel let only serious.,4
424,75438,3497,Language because owner deep city contain number off culture this if better.,4
425,40002,4009,Compare set month wind remain occur democratic yes left prove.,1
426,17682,4041,Eat former debate all occur reach tell authority.,2
427,21883,1110,Direction respond owner best hundred responsibility blue party thus.,1
428,88654,4072,Medical soon sometimes simply score state player be computer magazine home pull.,2
429,76560,1315,Carry Democrat direction door central fight company memory.,5
430,65441,2620,Community president mother know seek listen this popular country war work.,2
431,27711,3218,Pay usually cultural third other prepare reason interesting raise fly team full myself.,2
432,91821,1609,Heavy soldier fact somebody serious economy offer large everyone.,5
433,90049,4501,Film bank production body develop outside available movie.,1
