escalation_id,call_id,escalation_reason,escalated_to,escalation_date
75,45584,High-value Customer,Legal,2025-01-12 11:45:44
76,33206,Repeated Issue,Backend Team,2025-01-30 01:09:48
77,86284,Technical Issue,Legal,2025-02-03 02:56:03
78,16396,Policy Exception,Backend Team,2025-02-17 17:46:05
79,57348,Repeated Issue,Supervisor,2025-04-27 18:29:24
80,70979,High-value Customer,Legal,2025-04-11 00:10:34
81,50765,Repeated Issue,Backend Team,2025-04-03 22:59:35
82,84633,Policy Exception,Backend Team,2025-03-18 18:27:57
83,3374,Technical Issue,Legal,2025-06-19 17:06:26
84,32500,High-value Customer,Supervisor,2025-04-21 12:03:48
85,57001,Repeated Issue,Legal,2025-05-01 13:12:44
86,21730,Policy Exception,Supervisor,2025-06-08 02:51:37
87,30237,Repeated Issue,Legal,2025-02-11 15:18:24
88,94279,High-value Customer,Supervisor,2025-04-03 16:13:33
89,81434,Policy Exception,Supervisor,2025-05-02 15:50:15
90,88559,Policy Exception,Legal,2025-06-11 11:27:08
91,78275,High-value Customer,Legal,2025-04-17 04:28:20
92,24064,Technical Issue,Supervisor,2025-04-06 18:30:06
93,35565,Repeated Issue,Supervisor,2025-03-19 09:19:12
94,21253,High-value Customer,Backend Team,2024-12-25 13:25:34
95,36732,Policy Exception,Backend Team,2025-06-20 22:25:42
96,32979,High-value Customer,Backend Team,2025-04-06 04:02:58
97,13763,Policy Exception,Backend Team,2025-05-02 18:14:28
98,64457,Technical Issue,Supervisor,2025-05-02 22:37:40
99,86250,Repeated Issue,Backend Team,2025-04-21 02:57:36
100,56368,Repeated Issue,Legal,2025-04-10 11:35:27
101,14193,Repeated Issue,Backend Team,2025-01-26 17:20:49
102,43446,Technical Issue,Legal,2025-06-07 21:28:22
103,81079,Technical Issue,Supervisor,2025-02-06 20:04:14
104,41267,Repeated Issue,Legal,2025-03-06 19:06:58
105,28783,High-value Customer,Supervisor,2025-03-18 13:42:09
106,4891,Policy Exception,Legal,2025-04-26 12:22:38
107,40047,Policy Exception,Supervisor,2025-02-19 01:26:49
108,31863,Repeated Issue,Supervisor,2025-03-10 11:59:34
109,49605,Technical Issue,Legal,2025-02-02 23:17:29
110,83883,High-value Customer,Supervisor,2025-04-02 00:11:40
111,84523,Policy Exception,Legal,2025-01-16 10:14:56
112,10102,High-value Customer,Supervisor,2025-01-07 02:35:56
113,40246,Technical Issue,Supervisor,2025-05-15 05:12:12
114,35441,High-value Customer,Supervisor,2025-06-06 21:45:10
115,91253,Policy Exception,Legal,2025-04-09 06:45:39
116,39956,Policy Exception,Legal,2025-04-20 08:36:36
117,51025,Repeated Issue,Backend Team,2025-01-24 06:55:15
118,24605,Repeated Issue,Legal,2025-06-20 17:18:17
119,820,Technical Issue,Backend Team,2025-01-25 02:55:23
120,68765,Policy Exception,Backend Team,2025-05-04 20:59:18
121,85985,High-value Customer,Legal,2025-02-03 21:28:00
122,52633,Technical Issue,Supervisor,2025-04-29 11:03:23
123,78139,Policy Exception,Legal,2025-06-12 05:07:57
124,28742,High-value Customer,Supervisor,2025-05-11 13:35:30
125,57237,Technical Issue,Legal,2025-05-21 01:18:59
126,83712,High-value Customer,Supervisor,2025-02-28 20:10:21
127,81357,Technical Issue,Legal,2025-04-24 23:33:03
128,13396,High-value Customer,Supervisor,2025-01-13 10:03:44
129,17693,Policy Exception,Legal,2025-06-14 14:05:53
130,29398,Policy Exception,Supervisor,2025-02-07 09:24:38
131,5311,Technical Issue,Backend Team,2025-02-21 06:00:18
132,17827,Technical Issue,Legal,2025-01-09 17:08:50
133,43403,Policy Exception,Backend Team,2025-03-08 05:08:12
134,40457,Technical Issue,Supervisor,2025-05-18 18:56:46
135,58013,Repeated Issue,Backend Team,2025-05-05 23:15:55
136,51427,Repeated Issue,Backend Team,2025-01-02 04:50:43
137,60489,Technical Issue,Backend Team,2025-02-26 20:17:09
138,39878,Policy Exception,Backend Team,2025-05-21 02:26:17
139,92174,Technical Issue,Backend Team,2025-02-28 02:54:01
140,96857,Technical Issue,Backend Team,2025-05-29 11:15:37
141,86620,High-value Customer,Supervisor,2025-03-10 21:47:41
142,66632,High-value Customer,Backend Team,2024-12-31 10:13:06
143,82879,High-value Customer,Supervisor,2025-03-09 04:34:19
144,5704,Policy Exception,Backend Team,2025-04-28 00:53:56
145,80304,Repeated Issue,Supervisor,2025-05-26 01:04:12
146,41517,Policy Exception,Supervisor,2025-04-13 02:17:25
147,18903,Technical Issue,Supervisor,2025-03-13 10:08:04
148,38145,Repeated Issue,Supervisor,2025-04-21 21:46:08
149,3789,High-value Customer,Supervisor,2025-03-21 23:26:38
150,31956,Policy Exception,Backend Team,2025-03-02 05:47:41
151,855,High-value Customer,Legal,2025-03-30 18:18:25
152,32810,High-value Customer,Legal,2025-06-16 06:37:13
153,66801,Technical Issue,Legal,2025-05-21 05:10:34
154,55169,Policy Exception,Backend Team,2025-02-18 11:52:24
155,66317,Repeated Issue,Legal,2025-01-02 03:10:00
156,26949,Technical Issue,Legal,2025-02-02 08:48:09
157,45649,Policy Exception,Supervisor,2025-02-05 20:53:38
158,83029,Policy Exception,Supervisor,2025-03-16 19:01:11
159,41925,High-value Customer,Backend Team,2025-05-31 13:56:48
160,63104,Technical Issue,Backend Team,2025-04-30 00:10:09
161,31301,Policy Exception,Supervisor,2025-04-09 17:29:21
162,58791,Technical Issue,Backend Team,2025-02-28 11:42:33
163,99603,Technical Issue,Backend Team,2025-06-02 23:28:04
164,12198,High-value Customer,Backend Team,2025-03-10 00:22:25
165,20852,Technical Issue,Backend Team,2025-06-10 21:24:56
166,58064,Repeated Issue,Backend Team,2025-05-30 14:05:45
167,17664,Repeated Issue,Backend Team,2025-05-17 05:47:32
168,6392,Technical Issue,Supervisor,2025-02-06 08:12:45
169,25121,Technical Issue,Supervisor,2025-05-23 01:57:05
170,25556,Repeated Issue,Backend Team,2025-05-27 13:16:43
171,48724,Repeated Issue,Backend Team,2025-05-22 00:50:09
172,85191,Technical Issue,Legal,2025-05-20 12:03:24
173,75697,Policy Exception,Legal,2025-04-15 06:47:26
174,47893,Technical Issue,Legal,2025-02-04 00:02:28
175,47515,Repeated Issue,Supervisor,2025-03-09 21:44:56
176,96904,Policy Exception,Legal,2025-03-10 07:41:09
177,63990,Repeated Issue,Backend Team,2025-01-08 13:15:49
178,81160,Technical Issue,Backend Team,2025-02-11 07:24:55
179,53336,Repeated Issue,Legal,2025-06-15 08:05:25
180,56488,Technical Issue,Backend Team,2025-01-05 12:42:38
181,70223,Policy Exception,Backend Team,2025-01-28 14:30:39
182,82370,Policy Exception,Supervisor,2025-04-07 09:44:06
183,51329,Technical Issue,Legal,2025-03-26 06:22:24
184,49069,Repeated Issue,Backend Team,2024-12-31 16:51:47
185,78468,High-value Customer,Supervisor,2025-01-24 00:49:02
186,1722,High-value Customer,Supervisor,2025-04-20 03:20:13
187,8712,Technical Issue,Legal,2025-04-22 11:17:48
188,51843,Technical Issue,Backend Team,2025-05-29 13:10:42
189,61436,Policy Exception,Supervisor,2025-05-05 22:06:24
190,33439,Technical Issue,Supervisor,2024-12-31 18:39:18
191,66130,Policy Exception,Backend Team,2025-06-16 21:25:50
192,69110,High-value Customer,Legal,2025-02-01 18:37:56
193,91063,High-value Customer,Supervisor,2025-02-26 03:07:48
194,63027,Repeated Issue,Supervisor,2025-04-21 17:22:13
195,89382,Repeated Issue,Legal,2025-02-10 03:30:21
196,7171,Policy Exception,Backend Team,2025-03-02 20:27:56
197,73626,Policy Exception,Legal,2025-06-16 09:12:36
198,9605,Repeated Issue,Supervisor,2025-01-14 20:43:06
199,39589,High-value Customer,Legal,2025-02-05 06:50:25
200,80605,Repeated Issue,Supervisor,2025-01-07 21:55:29
201,98824,Repeated Issue,Legal,2025-03-24 09:57:27
202,88019,Technical Issue,Supervisor,2025-04-03 21:55:12
203,18973,Repeated Issue,Backend Team,2025-04-27 14:56:19
204,12462,Repeated Issue,Supervisor,2024-12-26 15:23:45
205,42326,Technical Issue,Backend Team,2025-03-25 22:08:07
206,67555,High-value Customer,Legal,2025-05-01 03:32:04
207,66156,High-value Customer,Supervisor,2025-04-13 23:40:58
208,41716,Repeated Issue,Supervisor,2025-02-26 11:07:43
209,1294,High-value Customer,Supervisor,2025-03-06 10:39:47
210,83565,Repeated Issue,Supervisor,2025-03-27 05:27:21
211,3888,High-value Customer,Backend Team,2025-04-14 06:36:41
212,68380,Repeated Issue,Legal,2025-02-11 03:40:45
213,8632,Policy Exception,Backend Team,2025-06-01 12:50:58
214,99341,Policy Exception,Supervisor,2025-03-11 14:44:01
215,36233,High-value Customer,Backend Team,2025-01-08 12:59:17
216,25000,Policy Exception,Supervisor,2025-04-06 14:53:59
217,2303,Policy Exception,Supervisor,2025-03-10 20:47:06
218,50050,Technical Issue,Supervisor,2025-03-14 10:51:08
219,19147,Technical Issue,Legal,2025-05-15 02:59:31
220,55091,Technical Issue,Backend Team,2024-12-24 16:03:02
221,35275,Technical Issue,Supervisor,2025-01-09 16:11:23
222,22593,Repeated Issue,Supervisor,2025-04-24 09:17:11
223,75545,Repeated Issue,Legal,2025-04-11 14:29:26
224,52142,Repeated Issue,Backend Team,2025-02-26 14:58:51
225,18095,High-value Customer,Legal,2025-01-31 01:47:43
226,87594,Technical Issue,Backend Team,2025-01-07 07:08:11
227,34645,Technical Issue,Supervisor,2024-12-31 09:28:16
228,72938,Repeated Issue,Supervisor,2025-06-08 16:31:12
229,66015,High-value Customer,Legal,2025-02-06 08:53:19
230,33998,Policy Exception,Backend Team,2025-03-15 03:47:30
231,78822,Repeated Issue,Supervisor,2025-03-26 08:14:19
232,63363,High-value Customer,Legal,2024-12-29 12:33:30
233,7419,High-value Customer,Supervisor,2025-02-23 07:08:16
234,82771,Policy Exception,Legal,2025-03-01 05:03:23
235,10123,Policy Exception,Supervisor,2025-06-14 05:11:51
236,7861,Policy Exception,Backend Team,2025-04-30 01:43:08
237,54269,Technical Issue,Backend Team,2025-06-01 04:51:19
238,40512,Policy Exception,Backend Team,2025-05-16 05:22:39
239,85138,Repeated Issue,Backend Team,2025-01-26 07:01:50
240,84427,High-value Customer,Backend Team,2025-01-20 16:21:10
241,14685,Repeated Issue,Legal,2025-04-16 16:14:36
242,289,Technical Issue,Legal,2024-12-28 17:03:32
243,31962,High-value Customer,Supervisor,2025-05-09 16:34:24
244,98467,High-value Customer,Supervisor,2025-02-16 02:48:15
245,27748,High-value Customer,Legal,2025-04-21 17:27:46
246,84310,Technical Issue,Backend Team,2025-06-05 10:17:05
247,93216,Technical Issue,Legal,2025-04-24 13:50:22
248,84006,Technical Issue,Legal,2025-02-12 12:34:02
249,19082,High-value Customer,Backend Team,2025-04-15 17:12:24
250,88861,Technical Issue,Supervisor,2025-04-19 02:15:40
251,3286,Technical Issue,Legal,2025-01-04 11:01:23
252,98650,Technical Issue,Backend Team,2024-12-25 10:42:18
253,47744,Repeated Issue,Supervisor,2025-03-11 10:04:22
254,93256,Policy Exception,Legal,2025-03-20 22:12:28
255,15876,Technical Issue,Backend Team,2025-04-18 23:20:28
256,95305,Policy Exception,Legal,2025-05-29 14:04:48
257,63085,Technical Issue,Backend Team,2025-04-22 10:39:33
258,84954,High-value Customer,Supervisor,2025-06-16 02:02:20
259,28339,Technical Issue,Supervisor,2025-01-31 18:59:47
260,86696,Technical Issue,Supervisor,2025-03-20 21:05:43
261,6323,Technical Issue,Legal,2025-06-19 09:22:25
262,88802,Policy Exception,Legal,2024-12-30 01:34:21
263,13567,Policy Exception,Legal,2025-04-11 00:20:49
264,32299,High-value Customer,Supervisor,2025-05-29 07:47:29
265,3671,High-value Customer,Supervisor,2025-02-27 08:26:28
266,87467,Policy Exception,Supervisor,2025-01-29 00:36:22
267,25613,Technical Issue,Backend Team,2025-04-05 17:31:14
268,80099,Technical Issue,Supervisor,2025-02-02 23:17:18
269,16236,Technical Issue,Supervisor,2025-01-30 23:38:26
270,53726,Repeated Issue,Supervisor,2025-04-30 17:42:31
271,3561,Technical Issue,Backend Team,2025-03-24 20:12:25
272,38241,High-value Customer,Backend Team,2025-02-25 00:00:51
273,29692,Repeated Issue,Backend Team,2025-06-06 13:06:58
274,57124,Technical Issue,Supervisor,2025-04-26 21:17:39
275,13373,Policy Exception,Backend Team,2025-06-07 17:26:37
276,7583,Technical Issue,Supervisor,2025-01-12 18:08:21
277,34745,Technical Issue,Supervisor,2025-02-08 12:57:51
278,49341,Repeated Issue,Legal,2025-02-18 20:10:39
279,37744,Repeated Issue,Supervisor,2025-01-16 02:28:13
280,16064,Technical Issue,Supervisor,2025-01-27 11:14:58
281,12143,High-value Customer,Supervisor,2025-04-30 23:26:24
282,52182,Policy Exception,Supervisor,2025-01-21 11:36:27
283,40582,Repeated Issue,Backend Team,2025-01-13 12:07:17
284,42504,Repeated Issue,Supervisor,2025-05-30 00:32:59
285,94845,Policy Exception,Legal,2025-05-03 08:50:38
286,66562,Policy Exception,Supervisor,2025-03-03 00:47:48
287,91209,Technical Issue,Legal,2025-06-07 23:42:36
288,78545,Technical Issue,Supervisor,2025-04-21 22:33:26
289,63135,Repeated Issue,Supervisor,2025-02-19 19:45:49
290,80822,Repeated Issue,Legal,2025-05-17 13:23:55
291,70774,Policy Exception,Supervisor,2025-03-30 08:17:18
292,36622,High-value Customer,Supervisor,2025-05-03 23:09:51
293,8716,Repeated Issue,Supervisor,2025-03-04 00:18:38
294,98101,High-value Customer,Backend Team,2025-03-08 05:48:52
295,8930,High-value Customer,Legal,2025-01-20 05:15:25
296,74666,Technical Issue,Legal,2025-03-22 12:25:40
297,84311,Policy Exception,Backend Team,2025-03-18 08:33:09
298,65995,Repeated Issue,Legal,2025-04-10 12:49:18
299,676,High-value Customer,Supervisor,2025-04-04 05:36:03
300,741,Repeated Issue,Backend Team,2025-01-22 10:41:23
301,55322,Repeated Issue,Backend Team,2025-01-24 08:25:00
302,85366,Repeated Issue,Supervisor,2025-04-04 01:22:46
303,61058,Repeated Issue,Legal,2025-04-05 18:46:39
304,14729,Repeated Issue,Supervisor,2025-05-28 07:37:26
305,47846,High-value Customer,Backend Team,2025-03-03 06:13:01
306,11409,Technical Issue,Backend Team,2025-01-13 11:22:21
307,6706,Policy Exception,Legal,2025-01-18 11:48:18
308,61852,High-value Customer,Legal,2025-03-15 18:06:54
309,32286,Policy Exception,Legal,2025-05-30 16:16:49
310,409,Technical Issue,Legal,2025-06-21 06:00:46
311,19956,High-value Customer,Backend Team,2025-06-13 22:23:34
312,92385,High-value Customer,Backend Team,2025-02-20 11:30:51
313,85923,Repeated Issue,Supervisor,2025-05-18 04:10:55
314,77087,Repeated Issue,Legal,2025-04-16 18:37:12
315,50329,Technical Issue,Supervisor,2025-02-25 20:23:27
316,67849,Repeated Issue,Backend Team,2025-06-16 12:10:38
317,4163,Policy Exception,Backend Team,2025-03-20 22:42:17
318,22787,Technical Issue,Backend Team,2025-02-16 22:44:10
319,68367,High-value Customer,Supervisor,2025-04-15 15:41:41
320,93998,High-value Customer,Supervisor,2024-12-26 10:09:23
321,48426,High-value Customer,Supervisor,2025-04-06 17:54:38
322,98859,Repeated Issue,Legal,2025-03-14 16:34:22
323,58973,High-value Customer,Legal,2025-03-25 20:05:45
324,55103,Policy Exception,Supervisor,2025-05-09 04:39:59
325,63347,Policy Exception,Legal,2025-06-11 04:21:34
326,60464,High-value Customer,Legal,2025-02-06 12:36:37
327,50878,Policy Exception,Backend Team,2025-02-11 08:56:10
328,76573,Policy Exception,Supervisor,2025-04-17 19:18:54
329,31108,Repeated Issue,Supervisor,2025-06-01 18:14:59
330,35790,Technical Issue,Legal,2025-06-13 16:37:40
331,16927,Repeated Issue,Backend Team,2025-01-27 16:54:45
332,92057,Repeated Issue,Backend Team,2025-03-19 02:05:56
333,29232,Policy Exception,Legal,2025-02-16 18:47:48
334,88897,Policy Exception,Legal,2025-03-14 18:49:41
335,47203,Technical Issue,Backend Team,2025-04-30 20:48:10
336,92554,Technical Issue,Supervisor,2025-02-25 02:30:50
337,64286,Policy Exception,Legal,2025-02-09 02:20:09
338,97957,Policy Exception,Backend Team,2025-06-20 20:47:13
339,83609,Technical Issue,Legal,2025-05-06 17:36:33
340,64738,High-value Customer,Supervisor,2025-04-06 07:24:39
341,68398,High-value Customer,Supervisor,2025-04-15 05:54:03
342,94795,High-value Customer,Supervisor,2025-02-09 12:48:16
343,36246,High-value Customer,Backend Team,2025-06-07 14:46:19
344,81506,Repeated Issue,Backend Team,2025-02-14 18:26:56
345,55582,Policy Exception,Supervisor,2025-03-20 15:22:10
346,35899,Technical Issue,Legal,2025-02-23 05:54:31
347,58076,Repeated Issue,Legal,2025-03-27 03:57:11
348,42109,Technical Issue,Supervisor,2025-02-03 17:08:27
349,37753,High-value Customer,Backend Team,2025-02-05 04:13:12
350,56522,Technical Issue,Backend Team,2025-02-19 00:13:07
351,96754,High-value Customer,Supervisor,2025-01-28 00:31:41
352,66747,Repeated Issue,Backend Team,2025-03-29 09:56:37
353,26574,Policy Exception,Legal,2025-03-21 12:10:50
354,55690,High-value Customer,Legal,2025-02-18 15:08:54
355,11085,Policy Exception,Legal,2025-04-06 21:07:25
356,34998,Repeated Issue,Backend Team,2024-12-27 11:06:01
357,5684,Technical Issue,Legal,2025-01-08 10:23:05
358,62832,Repeated Issue,Backend Team,2025-04-19 19:59:39
359,28310,Repeated Issue,Legal,2025-04-15 00:04:41
360,66815,Technical Issue,Backend Team,2025-04-19 22:41:53
361,32455,Technical Issue,Backend Team,2025-06-08 13:18:56
362,76510,High-value Customer,Backend Team,2025-03-16 00:04:09
363,90030,Technical Issue,Legal,2025-02-25 23:37:20
364,3279,Technical Issue,Legal,2025-04-06 12:15:01
365,97399,Technical Issue,Supervisor,2025-03-11 19:19:21
366,9149,Technical Issue,Legal,2025-06-18 17:15:57
367,68251,Policy Exception,Backend Team,2025-04-18 02:19:12
368,11711,Technical Issue,Supervisor,2025-03-10 17:51:52
369,56670,Policy Exception,Legal,2025-01-22 11:19:34
370,29046,Policy Exception,Supervisor,2025-04-20 20:11:45
371,2213,High-value Customer,Supervisor,2025-03-07 16:08:53
372,14940,Policy Exception,Backend Team,2025-06-02 21:09:33
373,42147,High-value Customer,Supervisor,2025-03-19 07:20:14
374,34988,High-value Customer,Supervisor,2024-12-27 08:56:09
375,46675,Policy Exception,Legal,2025-02-05 11:14:10
376,95819,Policy Exception,Legal,2025-01-21 08:16:54
377,90633,Policy Exception,Backend Team,2025-05-17 03:24:26
378,24336,High-value Customer,Supervisor,2025-05-20 19:41:40
379,9209,Policy Exception,Backend Team,2025-01-23 23:19:46
380,29173,Policy Exception,Backend Team,2025-02-06 16:57:32
381,78115,High-value Customer,Backend Team,2025-05-18 06:29:36
382,23208,High-value Customer,Backend Team,2025-02-05 15:06:03
383,21683,Repeated Issue,Supervisor,2025-02-14 13:49:06
384,75459,Policy Exception,Backend Team,2025-04-19 11:22:13
385,78769,Policy Exception,Supervisor,2025-03-17 00:17:57
386,21887,High-value Customer,Supervisor,2025-05-13 21:03:17
387,51227,High-value Customer,Supervisor,2025-03-30 21:53:00
388,31497,Policy Exception,Supervisor,2025-05-10 05:21:47
389,28152,Repeated Issue,Backend Team,2024-12-31 09:36:36
390,84641,High-value Customer,Supervisor,2025-05-20 07:07:30
391,98889,High-value Customer,Legal,2025-01-19 19:32:22
392,6309,Repeated Issue,Backend Team,2025-01-02 02:09:53
393,74261,Policy Exception,Backend Team,2025-01-27 20:26:18
394,91744,Technical Issue,Backend Team,2025-05-20 11:20:16
395,79617,High-value Customer,Supervisor,2025-05-16 02:44:39
396,83379,High-value Customer,Backend Team,2025-02-15 15:08:24
397,5586,Policy Exception,Supervisor,2025-04-21 01:11:21
398,85959,Repeated Issue,Backend Team,2024-12-30 11:17:53
399,13784,Policy Exception,Supervisor,2025-05-15 03:33:07
400,38827,Repeated Issue,Legal,2025-03-15 14:03:04
401,35710,Technical Issue,Legal,2025-03-24 10:39:15
402,84914,Technical Issue,Backend Team,2025-03-11 13:07:55
403,52601,Technical Issue,Supervisor,2025-03-15 07:51:41
404,8825,Repeated Issue,Legal,2025-02-12 08:35:49
405,54596,Policy Exception,Backend Team,2025-01-15 12:13:45
406,92193,High-value Customer,Backend Team,2025-02-08 14:16:33
407,20858,Technical Issue,Backend Team,2025-05-26 22:30:28
408,13739,Repeated Issue,Supervisor,2025-05-15 06:20:42
409,36359,Repeated Issue,Legal,2025-01-29 15:47:49
410,8234,High-value Customer,Backend Team,2025-01-11 01:10:18
411,59760,Repeated Issue,Legal,2025-02-15 13:41:26
412,96839,Repeated Issue,Supervisor,2025-06-20 05:08:49
413,56837,Repeated Issue,Supervisor,2025-03-26 11:28:06
414,87531,Repeated Issue,Supervisor,2025-02-15 08:17:35
415,40216,Repeated Issue,Legal,2025-04-12 17:21:33
416,23053,Policy Exception,Legal,2025-06-02 02:17:49
417,52225,Technical Issue,Backend Team,2025-05-25 21:53:47
418,42701,Policy Exception,Backend Team,2025-05-18 03:18:58
419,48916,Technical Issue,Legal,2025-04-27 10:52:48
420,49471,Policy Exception,Supervisor,2025-03-23 01:22:47
421,13468,High-value Customer,Backend Team,2025-06-06 00:33:01
422,39135,Repeated Issue,Legal,2025-05-26 10:09:20
423,29271,Technical Issue,Backend Team,2025-01-31 10:29:21
424,28733,Repeated Issue,Legal,2025-05-09 06:09:01
425,46767,Repeated Issue,Backend Team,2025-03-13 00:41:07
426,18280,Repeated Issue,Legal,2025-04-15 04:55:22
427,72534,Policy Exception,Legal,2025-01-29 21:56:54
428,27824,Repeated Issue,Backend Team,2025-03-07 14:00:30
429,67103,Repeated Issue,Supervisor,2025-05-28 10:15:40
430,40006,High-value Customer,Backend Team,2025-06-14 15:05:41
431,37819,Technical Issue,Supervisor,2025-05-10 18:43:05
432,97405,High-value Customer,Backend Team,2025-01-30 18:03:00
433,64749,Policy Exception,Legal,2025-03-05 08:35:18
434,67830,Technical Issue,Backend Team,2025-04-14 22:28:33
435,48527,Policy Exception,Legal,2025-02-10 22:45:39
436,85710,Policy Exception,Legal,2025-05-29 01:39:05
437,65541,High-value Customer,Backend Team,2025-06-04 04:38:21
438,55382,Repeated Issue,Legal,2025-05-06 08:45:51
439,38562,Policy Exception,Legal,2025-05-02 03:39:30
440,40180,Technical Issue,Backend Team,2025-02-12 21:36:18
441,12248,High-value Customer,Legal,2025-03-28 01:52:37
442,22354,Technical Issue,Backend Team,2025-01-27 17:17:23
443,89653,Repeated Issue,Supervisor,2025-01-18 02:27:03
444,56636,High-value Customer,Supervisor,2025-05-04 15:53:22
445,41118,Policy Exception,Legal,2025-03-21 11:02:37
446,53775,Policy Exception,Supervisor,2025-01-23 07:15:55
447,44570,High-value Customer,Backend Team,2025-06-13 20:32:14
448,94616,High-value Customer,Supervisor,2025-01-17 03:04:10
449,61755,Technical Issue,Legal,2025-01-31 17:24:13
450,701,Repeated Issue,Supervisor,2025-02-03 11:26:23
451,5340,Technical Issue,Backend Team,2025-03-13 01:40:18
452,69531,Technical Issue,Backend Team,2025-03-13 07:47:15
453,93383,Policy Exception,Legal,2025-06-08 09:05:04
454,74352,Repeated Issue,Legal,2024-12-30 08:27:47
455,3439,High-value Customer,Backend Team,2025-05-18 07:51:40
